NP;alpha;
0;0.2;
0.015;0.202;
0.016;0.205;
0.017;0.207;
0.018;0.21;
0.019;0.212;
0.02;0.215;
0.021;0.217;
0.022;0.219;
0.023;0.222;
0.024;0.224;
0.025;0.226;
0.026;0.228;
0.027;0.23;
0.028;0.233;
0.029;0.235;
0.03;0.237;
0.031;0.239;
0.032;0.241;
0.033;0.243;
0.034;0.245;
0.035;0.247;
0.036;0.249;
0.037;0.25;
0.038;0.252;
0.039;0.254;
0.04;0.256;
0.041;0.258;
0.042;0.259;
0.043;0.261;
0.044;0.263;
0.045;0.265;
0.046;0.266;
0.047;0.268;
0.048;0.27;
0.049;0.271;
0.05;0.273;
0.052;0.276;
0.054;0.28;
0.056;0.283;
0.058;0.286;
0.06;0.289;
0.062;0.292;
0.064;0.295;
0.065;0.298;
0.068;0.301;
0.07;0.304;
0.072;0.307;
0.074;0.309;
0.076;0.312;
0.078;0.315;
0.08;0.318;
0.082;0.32;
0.084;0.323;
0.086;0.326;
0.088;0.328;
0.09;0.331;
0.092;0.333;
0.094;0.336;
0.096;0.338;
0.098;0.341;
0.1;0.343;
0.105;0.349;
0.11;0.355;
0.115;0.361;
0.12;0.367;
0.125;0.373;
0.13;0.378;
0.135;0.384;
0.14;0.389;
0.145;0.394;
0.15;0.399;
0.155;0.405;
0.16;0.41;
0.165;0.415;
0.17;0.42;
0.175;0.425;
0.18;0.43;
0.185;0.435;
0.19;0.439;
0.195;0.444;
0.2;0.449;
0.21;0.458;
0.22;0.467;
0.23;0.476;
0.24;0.485;
0.25;0.493;
0.26;0.502;
0.27;0.51;
0.28;0.518;
0.29;0.526;
0.3;0.534;
0.31;0.542;
0.32;0.55;
0.33;0.558;
0.34;0.565;
0.35;0.573;
0.36;0.58;
0.37;0.588;
0.38;0.595;
0.39;0.602;
0.4;0.61;
0.41;0.617;
0.42;0.624;
0.43;0.631;
0.44;0.638;
0.45;0.645;
0.46;0.652;
0.47;0.658;
0.48;0.665;
0.49;0.672;
0.5;0.678;
0.52;0.692;
0.54;0.704;
0.56;0.717;
0.58;0.73;
0.6;0.742;
0.62;0.755;
0.64;0.767;
0.66;0.779;
0.68;0.791;
0.7;0.803;
0.72;0.815;
0.74;0.826;
0.76;0.838;
0.78;0.849;
0.8;0.86;
0.82;0.872;
0.84;0.883;
0.86;0.894;
0.88;0.905;
0.9;0.916;
0.92;0.927;
0.94;0.937;
0.96;0.948;
0.98;0.959;
1;0.969;
1.05;0.995;
1.1;1.021;
1.15;1.046;
1.2;1.071;
1.25;1.096;
1.3;1.12;
1.35;1.144;
1.4;1.168;
1.45;1.191;
1.5;1.215;
1.55;1.238;
1.6;1.261;
1.65;1.283;
1.7;1.306;
1.75;1.328;
1.8;1.35;
1.85;1.372;
1.9;1.394;
1.95;1.416;
2;1.437;
2.1;1.479;
2.2;1.521;
2.3;1.563;
2.4;1.604;
2.5;1.644;
2.6;1.684;
2.7;1.724;
2.8;1.763;
2.9;1.802;
3;1.84;
3.1;1.879;
3.2;1.917;
3.3;1.954;
3.4;1.991;
3.5;2.029;
3.6;2.065;
3.7;2.102;
3.8;2.138;
3.9;2.174;
4;2.21;
4.1;2.246;
4.2;2.281;
4.3;2.317;
4.4;2.352;
4.5;2.386;
4.6;2.421;
4.7;2.456;
4.8;2.49;
4.9;2.524;
5;2.558;
5.1;2.592;
5.2;2.626;
5.3;2.66;
5.4;2.693;
5.5;2.726;
5.6;2.76;
5.7;2.793;
5.8;2.826;
5.9;2.858;
6;2.891;
6.1;2.924;
6.2;2.956;
6.3;2.989;
6.4;3.021;
6.5;3.053;
6.6;3.085;
6.7;3.117;
6.8;3.149;
6.9;3.181;
7;3.212;
7.1;3.244;
7.2;3.275;
7.3;3.307;
7.4;3.338;
7.5;3.369;
7.6;3.4;
7.7;3.431;
7.8;3.462;
7.9;3.493;
8;3.524;
8.1;3.555;
8.2;3.585;
8.3;3.616;
8.4;3.646;
8.5;3.677;
8.6;3.707;
8.7;3.738;
8.8;3.768;
8.9;3.798;
9;3.828;
9.1;3.858;
9.2;3.888;
9.3;3.918;
9.4;3.948;
9.5;3.978;
9.6;4.008;
9.7;4.037;
